"","2218DP100","2218DP234","2218DP286","2218DP103","2218DP093","2226DP070","2226DP052","2226DP025","2226DP103","2226DP088","2226DP215","2218DP148","2226DP092","2226DP059","2218DP112","2226DP005","2226DP137","2226DP069","2226DP360","2226DP082","2226DP046","2226DP183","2226DP033","2226DP212","2226DP176","2226DP072","2218DP084","2218DP263","2226DP185","2226DP172","2226DP051","2226DP170","2226DP307","2218DP114","2218DP088","2218DP026","2218DP002","2218DP190","2218DP198","2218DP109","2218DP281","2218DP282","2218DP217","2218DP202","2218DP102","2218DP312","2218DP086","2218DP073","2218DP152"
"Solyc00g019970.2.1",0,0,0.154759,0,0,1.73748,0.596722,1.68099,0,0,1.2219,3.28751,0,0.180074,2.44693,0.16859,0,0,0,0,1.14379,0,0.483048,0.458444,0.583674,0.597624,0,5.18106,0,0.812079,0,0,1.73933,40.6159,3.00136,0,41.0631,38.6892,75.9454,1.11702,0,2.13566,1.54264,39.2027,0,9.4202,0.190504,1.06223,0.556608
"Solyc00g019990.1.1",0,0,0,0,0.601696,0,4.30767,0,0,2.68364,0,0,0,0,1.41312,0.973625,0,0,1.69505,3.40544,0,0,0,0,0.842694,0,0,0,2.47491,0,0,0,0,53.8534,1.23808,0,45.2445,98.311,123.877,0,0,13.567,4.45446,55.9779,0,54.4026,8.80143,14.7228,0
"Solyc00g020000.1.1",0,0,0,0,0,0,0,0,0,0,0,17.3996,0,0,38.852,0,0,0,6.21377,0,0,0,0,0,6.17834,0,0,20.5661,2.26815,0,0,0,0,179.869,2.2693,0,102.947,121.223,153.416,2.95598,0,6.78197,2.04116,50.1613,0,56.9802,0,0,0
"Solyc00g020010.1.1",4.45476,0,0,0,0,2.06981,0,3.56002,0.956775,0,3.49348,10.4435,3.17487,0,25.6516,0,0,0,0,0,0.778606,5.18768,0,0,0,0,0,8.2294,0,0,2.57736,1.07264,0,159.966,13.2802,5.26568,171.21,244.827,140.887,13.3067,17.8036,11.1943,14.7016,114.956,0,42.7505,0,0,0
"Solyc00g020020.2.1",0.751202,0,0.279795,0.626734,0,1.04709,0,0.337682,0.363015,0.280045,2.35641,1.98122,0.803062,0.434086,3.98152,0.508003,0,0,0,0,0.0984717,0.109349,0.485181,0.690702,0,0.240105,0.136472,0.78059,0.645661,0,0.108655,0,1.16467,30.0969,8.01025,0,44.9346,46.0724,55.7257,1.68292,0,3.86116,1.74313,23.7553,0.13805,9.05628,0,0.384091,0.447252
"Solyc00g020030.1.1",0,0,0,0,0,0,0,0,0,0,5.33922,39.9031,2.42613,0,12.4741,0,0,0,0,0,7.13983,0,0,10.0161,6.37604,1.45076,0,0,0,0,0,0,0,76.9663,4.68383,0,94.4363,139.753,105.55,16.2697,0,4.66599,1.40432,29.8049,10.0095,17.9677,0,0,0
"Solyc00g021650.1.1",0,0,0,0,0,0,0,1.69613,0,0,0,0,0,0,0,0,0,0,0,0,1.48383,0,0,0,0,0,0,0.980198,0.972918,0,0,0,0,31.9908,4.86705,0,57.6516,36.5392,43.433,0,0,2.90911,7.0044,25.4287,0,7.12877,0,0,0
"Solyc00g022070.1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8324,0,0,21.9438,58.6626,3.92422,0,0,0,0,0,0,0,0,0,0
"Solyc00g022080.1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0578,3.89449,2.2305,67.0704,35.61,42.126,0,0,6.46609,0,16.9561,0,5.43263,0,0,0
"Solyc00g025290.1.1",0,1.25503,0.588837,0.169966,0,4.02401,0.236889,0,0,0,3.60543,0,0,0,6.67687,1.35612,0.301884,0,0,0.0934851,1.08861,0,0.510539,0.831158,0.277601,0,1.43605,3.69625,0,0.501462,0.114333,1.53365,1.79083,54.592,8.19181,0,102.569,134.155,111.573,1.2101,0,10.728,5.71829,123.401,0,79.7534,0.241615,0,1.05891
"Solyc00g094520.1.1",0,0,0,7.51712,0,5.88701,0,0,0,0,6.62416,0,0,0,8.84349,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87207,0,0,0,0,86.1274,5.81105,0,161.1,123.048,81.1904,0,0,5.78891,0,105.095,4.13946,44.5837,0,0,0
"Solyc00g118690.1.1",0,0.973033,0,1.78859,0,0,3.84854,1.07076,0,2.22,7.70549,3.14114,0,0,11.2223,0,0,0,0,0,0,0,0,4.59934,0,0,0.649113,7.42557,0,1.16388,0,0,1.66189,71.2792,4.9161,0,61.1752,82.5094,100.537,3.20184,0,18.9773,4.9746,75.3261,0,66.2199,2.18426,0,1.59548
"Solyc00g125980.1.1",0,0,2.15435,0,0,1.51169,1.03835,0,0,2.15627,0,3.81371,0,0,8.51573,0,3.52269,8.11451,4.08587,2.05217,0,3.78881,1.12073,0,0,1.38656,0,15.0258,2.98285,5.65236,8.78441,4.70041,6.72574,73.56,14.9218,0,73.3337,62.4753,129.125,1.9437,1.62535,13.3785,17.4481,82.459,0,10.928,0,0,0
"Solyc00g126000.1.1",0,0,0,0,0,0,4.0392,0,0,12.2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9674,0,14.7276,65.2262,63.7301,36.7713,0,0,29.2866,0,8.74427,0,18.0241,0,0,0
"Solyc00g126010.1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81694,0,0,6.58057,0,0,25.7367,3.27628,53.7575,0,0,0,0,13.5081,0,4.74835,2.01653,0,0
"Solyc00g160370.1.1",0.34618,0.612787,0.730655,0.192547,0.327932,0.804226,0.248584,0.466846,0.613396,0.573576,1.06329,4.41289,0.570538,0.333403,6.00281,0.296533,0.18741,0.359748,0.326056,0.409413,0.226896,0.251959,0.313023,0.339519,0.351214,0.64545,0.335419,2.91775,1.13066,0.39468,0.634242,0.50013,0.590392,50.1446,7.04541,0.340997,52.0937,56.3601,56.0834,3.15389,0.497201,6.04981,3.33814,31.5656,0.933065,21.677,0.81124,1.18002,0.395043
"Solyc00g160410.1.1",0,0,0.336646,0,0,0.157481,0,0.812589,0,0,3.89841,0.794592,0.520826,0.391715,4.96794,1.34469,0.244653,0,0,0,0,0.657837,0,0,0.211611,0.433337,0,2.03493,0.932221,1.4721,0,0.163223,0.700659,51.238,6.21796,0,56.2195,54.7605,68.0993,2.02487,1.18526,3.71656,1.95749,38.4218,0,17.727,0,0,0
"Solyc00g160570.1.1",0.34618,0.612787,0.730655,0.192547,0.327932,0.804226,0.248584,0.466846,0.613396,0.573576,1.06329,4.41289,0.570538,0.333403,6.00281,0.296533,0.18741,0.359748,0.326056,0.409413,0.226896,0.251959,0.313023,0.339519,0.351214,0.64545,0.335419,2.91775,1.13066,0.39468,0.634242,0.50013,0.590392,50.1446,7.04541,0.340997,52.0937,56.3601,56.0834,3.15389,0.497201,6.04981,3.33814,31.5656,0.933065,21.677,0.81124,1.18002,0.395043
"Solyc00g277510.2.1",7.87079,9.72814,11.0229,18.3338,11.9079,98.1871,78.1305,117.034,7.27351,9.55727,633.55,8.36595,6.50468,7.33241,53.7168,51.6349,85.098,7.55617,4.52482,7.14347,62.3872,6.9101,6.73708,26.4897,7.31783,11.5195,9.46297,12.1736,21.8611,9.43633,7.8251,18.1141,61.2315,16.2475,24.1398,10.7803,27.1872,14.5692,47.3116,20.8914,8.61817,11.6825,8.69346,14.8356,25.9979,15.6253,4.07111,5.00774,8.56035
"Solyc00g316530.1.1",30.8472,8.40059,21.7023,17.1574,49.8479,18.8114,22.1506,21.5701,14.9068,11.4997,14.1113,2.25989,23.3585,17.0825,26.2401,7.64885,12.5247,18.4323,12.1058,7.90438,10.783,17.2128,7.96933,4.72713,8.42577,6.57307,14.0101,24.0405,14.1404,20.0965,11.898,11.1413,10.3622,52.1365,3.53689,16.7119,46.7981,61.2763,59.778,17.2767,9.63136,8.80854,11.9299,39.9787,6.61364,69.3815,23.572,32.4207,45.1494
"Solyc00g320430.1.1",0,0,7.57977,8.14967,4.08233,12.7648,1.46131,0,0,0,0,21.4688,0,0,7.19073,0,0,0,0,0,3.20117,0,0,4.49074,5.71744,0,0,4.2293,0,0,0,0,0,36.538,4.20002,0,124.376,97.0199,73.8252,0,0,12.5521,0,37.9794,2.24389,4.39412,0,0,0
"Solyc00g500021.1.1",18.7078,48.2964,63.288,57.3484,49.5956,31.3581,46.2447,56.5947,16.7471,18.8314,220.473,26.6905,24.0212,17.4352,38.8141,27.3571,55.9591,24.6401,20.5304,22.7336,36.92,22.8156,29.4962,33.6727,26.1318,26.6456,21.908,34.2461,30.6315,31.7761,29.2624,40.1324,37.0014,53.4911,54.1664,29.7652,45.3893,68.934,81.0384,57.0148,46.5218,61.3305,49.5002,66.8896,61.817,86.0854,42.7148,59.5433,69.9441
"Solyc00g500024.1.1",2.5411,3.57058,2.54513,3.84818,2.53912,42.4893,13.3505,41.1094,3.88,2.75968,95.1003,1.38919,2.76219,4.10903,5.61706,9.69253,21.2708,2.583,2.87281,3.76795,37.0493,3.73006,3.55278,15.7858,2.45974,3.61739,2.57591,2.82543,4.21401,2.11459,2.24853,7.66626,16.8582,1.80338,2.77648,3.57682,1.64756,2.0997,4.4493,4.91785,1.66415,2.51712,1.69133,1.43173,4.52071,0.553295,2.33668,1.63046,2.03419
"Solyc00g500025.1.1",19.8356,21.6072,13.5447,16.549,14.9215,157.251,55.5334,169.414,7.98788,8.62707,648.759,21.7976,13.2531,17.1932,21.4159,25.4864,144.936,4.63793,25.5291,22.2858,102.706,0,2.56225,56.538,29.025,4.755,14.4142,3.43526,8.52438,0,2.86904,25.0746,27.678,4.94634,18.7631,8.79238,4.29893,2.46265,25.3697,24.4407,0,3.39848,8.85001,0,20.0487,19.6303,7.57872,0,11.8098
"Solyc00g500039.1.1",145.314,199.985,252.024,279.608,217.465,2878.86,1676.78,2949.22,150.349,191.982,12064.1,144.114,152.054,215.638,846.013,842.215,2094.93,161.807,216.489,161.512,2211.19,162.766,156.467,698.903,116.041,194.358,163.943,200.379,391.093,132.05,105.325,334.707,1222.06,250.407,336.556,244.234,415.74,271.66,625.639,579.841,184.171,203.741,152.428,233.821,648.495,356.672,184.147,124.192,155.076
"Solyc00g500044.1.1",145.314,199.985,252.024,279.608,217.465,2878.86,1676.78,2949.22,150.349,191.982,12064.1,144.114,152.054,215.638,846.013,842.215,2094.93,161.807,216.489,161.512,2211.19,162.766,156.467,698.903,116.041,194.358,163.943,200.379,391.093,132.05,105.325,334.707,1222.06,250.407,336.556,244.234,415.74,271.66,625.639,579.841,184.171,203.741,152.428,233.821,648.495,356.672,184.147,124.192,155.076
"Solyc00g500054.1.1",3.49375,3.33732,3.28075,3.90029,3.10611,25.3042,13.8556,27.5279,3.05094,3.78616,96.1856,4.15507,2.41239,3.46385,15.5469,8.75453,16.4061,2.62569,3.17791,2.8398,20.4945,2.97386,2.75342,9.92669,2.33734,3.46346,1.88122,7.138,5.10931,3.3391,2.59595,5.87341,16.0339,9.69176,9.71726,3.65806,11.6664,8.49904,26.1002,11.1486,3.27587,5.23237,4.45525,7.76315,8.56504,3.93146,2.71584,1.86192,2.6239
"Solyc00g500057.1.1",3.11715,4.61579,4.48931,4.4876,2.64589,35.6714,10.9805,31.8943,1.63751,2.54249,64.6089,1.52721,1.56805,3.18787,4.64791,6.13494,15.7333,1.715,2.37855,2.65563,33.4915,2.97829,2.04453,15.3338,1.73969,2.83795,2.05722,2.59625,2.66548,1.49852,1.29597,8.59814,16.7977,1.15601,2.39537,0.899003,1.49204,2.98752,4.14367,9.48449,2.84961,1.78708,1.61357,2.59054,7.94548,0.469205,3.18565,1.70364,1.94408
"Solyc00g500063.1.1",42.3946,34.8166,25.9759,42.0643,35.9267,166.043,226.469,289.057,33.6714,37.1955,1579.54,17.0927,25.3475,27.6188,79.3123,117.243,317.128,23.8613,31.5779,25.215,126.09,27.6668,29.9665,51.0667,28.7332,28.3741,33.3576,28.8103,46.3997,25.2407,23.2933,47.3062,75.2869,23.2406,36.6688,46.6926,23.0901,18.2268,37.7143,30.809,26.5446,28.6643,28.9916,21.7975,35.8696,19.4548,22.1481,16.2937,23.8575
"Solyc00g500064.1.1",46.5786,22.0376,17.0226,23.6519,24.2455,110.513,54.6737,104.02,49.399,55.9264,102.215,31.4222,42.0635,69.3092,46.5583,44.0631,55.1157,48.168,118.958,55.694,116.204,55.2048,60.4115,63.349,33.2681,28.6583,42.9292,53.0623,28.9709,18.0193,23.6875,40.659,34.679,18.0438,29.5926,45.6058,9.69716,9.04047,14.5912,28.1995,24.2701,21.8002,14.7897,11.7789,21.6806,4.71736,21.1556,17.9295,10.0678
"Solyc00g500068.1.1",18.7078,48.2964,63.288,57.3484,49.5956,31.3581,46.2447,56.5947,16.7471,18.8314,220.473,26.6905,24.0212,17.4352,38.8141,27.3571,55.9591,24.6401,20.5304,22.7336,36.92,22.8156,29.4962,33.6727,26.1318,26.6456,21.908,34.2461,30.6315,31.7761,29.2624,40.1324,37.0014,53.4911,54.1664,29.7652,45.3893,68.934,81.0384,57.0148,46.5218,61.3305,49.5002,66.8896,61.817,86.0854,42.7148,59.5433,69.9441
"Solyc00g500071.1.1",2.5411,3.57058,2.54513,3.84818,2.53912,42.4893,13.3505,41.1094,3.88,2.75968,95.1003,1.38919,2.76219,4.10903,5.61706,9.69253,21.2708,2.583,2.87281,3.76795,37.0493,3.73006,3.55278,15.7858,2.45974,3.61739,2.57591,2.82543,4.21401,2.11459,2.24853,7.66626,16.8582,1.80338,2.77648,3.57682,1.64756,2.0997,4.4493,4.91785,1.66415,2.51712,1.69133,1.43173,4.52071,0.553295,2.33668,1.63046,2.03419
"Solyc00g500073.1.1",3.22736,3.45132,2.70981,7.31286,2.20919,37.3905,20.9998,35.7259,4.05299,3.7333,146.749,4.27377,3.04267,5.81599,8.39696,15.1393,30.9468,2.12388,4.84055,2.32128,26.895,4.88328,2.56062,8.43177,1.8908,3.40265,3.99939,4.11429,5.74984,3.55587,3.14467,6.96532,13.6599,4.02779,4.27069,4.54914,2.06854,1.64072,7.48848,3.61855,0.41262,2.51181,2.41576,1.82464,3.00907,2.51002,1.57536,1.00104,4.42122
"Solyc00g500083.1.1",145.314,199.985,252.024,279.608,217.465,2878.86,1676.78,2949.22,150.349,191.982,12064.1,144.114,152.054,215.638,846.013,842.215,2094.93,161.807,216.489,161.512,2211.19,162.766,156.467,698.903,116.041,194.358,163.943,200.379,391.093,132.05,105.325,334.707,1222.06,250.407,336.556,244.234,415.74,271.66,625.639,579.841,184.171,203.741,152.428,233.821,648.495,356.672,184.147,124.192,155.076
"Solyc00g500130.1.1",7.87079,9.72814,11.0229,18.3338,11.9079,98.1871,78.1305,117.034,7.27351,9.55727,633.55,8.36595,6.50468,7.33241,53.7168,51.6349,85.098,7.55617,4.52482,7.14347,62.3872,6.9101,6.73708,26.4897,7.31783,11.5195,9.46297,12.1736,21.8611,9.43633,7.8251,18.1141,61.2315,16.2475,24.1398,10.7803,27.1872,14.5692,47.3116,20.8914,8.61817,11.6825,8.69346,14.8356,25.9979,15.6253,4.07111,5.00774,8.56035
"Solyc00g500136.1.1",3.49375,3.33732,3.28075,3.90029,3.10611,25.3042,13.8556,27.5279,3.05094,3.78616,96.1856,4.15507,2.41239,3.46385,15.5469,8.75453,16.4061,2.62569,3.17791,2.8398,20.4945,2.97386,2.75342,9.92669,2.33734,3.46346,1.88122,7.138,5.10931,3.3391,2.59595,5.87341,16.0339,9.69176,9.71726,3.65806,11.6664,8.49904,26.1002,11.1486,3.27587,5.23237,4.45525,7.76315,8.56504,3.93146,2.71584,1.86192,2.6239
"Solyc00g500140.1.1",68.7294,31.0429,33.0223,37.2953,44.0895,166.094,87.8664,166.115,94.5091,91.1008,192.37,43.2289,66.6047,88.4724,71.2983,67.5639,73.2054,74.2104,163.941,91.4607,168.616,91.7498,103.939,106.043,50.2362,35.3628,75.3232,76.644,45.5296,25.8465,37.0164,63.5726,44.5295,36.4143,44.2072,78.9288,19.8608,24.9745,13.254,46.568,42.4999,46.528,25.7594,11.3939,34.9137,18.7012,40.4788,36.1891,15.4699
"Solyc00g500190.1.1",4.53196,7.10901,2.23671,1.45127,1.44992,12.1717,9.32582,15.8873,2.97822,1.80254,60.7614,3.30829,0.657321,2.28645,4.54269,7.73018,22.1922,2.3296,3.92283,2.53629,12.6568,3.03057,1.63447,3.26234,0.314658,0.615118,2.5528,1.81338,0.184824,0,0.257118,0,0.416743,1.62563,2.58885,4.52046,2.21371,0.134331,3.56981,4.9259,3.32345,1.13525,3.55523,1.11477,4.02955,2.4183,5.30884,0.765287,2.40981
"Solyc00g500196.2.1",20.627,18.7949,19.6206,30.8268,20.211,129.451,147.85,204.077,12.2132,12.8744,1394.98,9.47848,12.4836,13.2731,94.1295,90.1247,196.697,12.2338,16.1057,11.6785,121.347,13.6425,13.5857,41.3685,8.71178,14.7943,15.8967,17.1924,35.3271,8.98523,9.80414,14.5849,59.004,15.5292,30.6904,25.0241,36.8413,21.1039,28.4368,27.8552,11.248,16.2884,10.6708,11.3991,31.7914,22.5979,10.9286,5.71482,18.2486
"Solyc00g500200.1.1",7.87079,9.72814,11.0229,18.3338,11.9079,98.1871,78.1305,117.034,7.27351,9.55727,633.55,8.36595,6.50468,7.33241,53.7168,51.6349,85.098,7.55617,4.52482,7.14347,62.3872,6.9101,6.73708,26.4897,7.31783,11.5195,9.46297,12.1736,21.8611,9.43633,7.8251,18.1141,61.2315,16.2475,24.1398,10.7803,27.1872,14.5692,47.3116,20.8914,8.61817,11.6825,8.69346,14.8356,25.9979,15.6253,4.07111,5.00774,8.56035
"Solyc00g500206.1.1",3.49375,3.33732,3.28075,3.90029,3.10611,25.3042,13.8556,27.5279,3.05094,3.78616,96.1856,4.15507,2.41239,3.46385,15.5469,8.75453,16.4061,2.62569,3.17791,2.8398,20.4945,2.97386,2.75342,9.92669,2.33734,3.46346,1.88122,7.138,5.10931,3.3391,2.59595,5.87341,16.0339,9.69176,9.71726,3.65806,11.6664,8.49904,26.1002,11.1486,3.27587,5.23237,4.45525,7.76315,8.56504,3.93146,2.71584,1.86192,2.6239
"Solyc00g500209.1.1",3.11715,4.61579,4.48931,4.4876,2.64589,35.6714,10.9805,31.8943,1.63751,2.54249,64.6089,1.52721,1.56805,3.18787,4.64791,6.13494,15.7333,1.715,2.37855,2.65563,33.4915,2.97829,2.04453,15.3338,1.73969,2.83795,2.05722,2.59625,2.66548,1.49852,1.29597,8.59814,16.7977,1.15601,2.39537,0.899003,1.49204,2.98752,4.14367,9.48449,2.84961,1.78708,1.61357,2.59054,7.94548,0.469205,3.18565,1.70364,1.94408
"Solyc00g500228.1.1",1.54949,1.64534,0.39548,2.05933,0,4.03067,1.68818,4.80405,0.68009,1.01433,9.22313,1.63351,1.29012,0.575851,17.3238,1.02326,2.72137,0.1755,0.413903,0.210338,1.82751,1.0243,0.911405,1.34576,1.05681,1.48442,1.63631,4.55601,3.19338,0.476249,1.41013,2.47582,2.90518,54.1425,11.2279,1.46359,81.5082,56.9084,61.3258,3.74201,1.38793,8.62172,3.94088,33.587,1.75685,30.9188,0.857764,0.386323,1.07248
"Solyc00g500293.1.1",7.04646,9.09803,6.7668,7.90798,11.5611,19.8151,26.0024,36.7382,23.4353,11.2855,145.186,19.9502,14.9004,12.9162,11.6153,26.9304,29.6555,9.23518,16.9944,9.2641,18.2472,18.6928,17.7171,14.5704,20.8026,14.7062,14.2359,20.7708,10.1688,8.35671,6.78731,3.64792,4.32308,16.0219,12.4621,23.84,14.0742,11.2228,6.27667,7.01443,16.3064,16.6934,6.36766,10.5978,8.34067,7.18092,4.67621,12.9767,9.46965
"Solyc00g500296.1.1",7.87079,9.72814,11.0229,18.3338,11.9079,98.1871,78.1305,117.034,7.27351,9.55727,633.55,8.36595,6.50468,7.33241,53.7168,51.6349,85.098,7.55617,4.52482,7.14347,62.3872,6.9101,6.73708,26.4897,7.31783,11.5195,9.46297,12.1736,21.8611,9.43633,7.8251,18.1141,61.2315,16.2475,24.1398,10.7803,27.1872,14.5692,47.3116,20.8914,8.61817,11.6825,8.69346,14.8356,25.9979,15.6253,4.07111,5.00774,8.56035
"Solyc00g500301.1.1",145.314,199.985,252.024,279.608,217.465,2878.86,1676.78,2949.22,150.349,191.982,12064.1,144.114,152.054,215.638,846.013,842.215,2094.93,161.807,216.489,161.512,2211.19,162.766,156.467,698.903,116.041,194.358,163.943,200.379,391.093,132.05,105.325,334.707,1222.06,250.407,336.556,244.234,415.74,271.66,625.639,579.841,184.171,203.741,152.428,233.821,648.495,356.672,184.147,124.192,155.076
"Solyc00g500315.1.1",1.56577,0.663298,1.29598,1.62566,0.348998,0.363752,1.6657,0.208548,1.00887,0.432381,1.77363,1.52947,1.3019,1.80958,5.32769,1.50593,0.0941839,1.08476,0.245793,1.72833,0.547333,0.506494,2.3372,0.383912,0.488782,1.557,1.64353,2.28989,2.27288,1.47345,2.11377,1.50806,1.40261,34.3598,5.74494,2.26208,37.856,45.9637,50.6522,0.935415,0.391103,3.09999,1.72246,39.5635,0.511546,8.01391,0.638129,4.26977,0.72507
"Solyc00g500316.1.1",0.564336,0.750382,0.399114,0,0,0.320063,0.135079,0,0,0.513606,3.06077,3.47288,0.301648,0.0663432,7.75468,0.310561,0.305512,0,0.540677,0,0.361196,0,0.415252,0.928952,0.430075,0,0.410095,4.1049,2.91029,0.22439,0.464971,0.0829332,1.78001,78.593,13.9667,1.0006,79.1097,87.9802,92.9135,2.78142,0.422884,3.09405,4.90194,69.8348,0.928343,49.3321,0,0.547887,0
"Solyc00g500321.1.1",28.0508,14.005,10.4479,8.84115,16.1518,70.0507,48.4916,56.0421,48.1971,40.6671,215.701,4.11006,36.2347,50.429,18.9668,48.8991,75.9287,37.8953,20.5491,18.799,41.2647,22.2309,23.3511,19.4871,16.7834,16.9354,40.7683,14.5741,4.82196,4.56869,3.15568,6.75423,18.3626,13.4718,7.50463,44.2094,10.8078,1.54782,5.7983,32.8177,8.17439,24.0301,5.30369,11.8489,5.72772,0.560818,6.66872,10.624,6.03091
"Solyc00g500322.1.1",55.1608,33.4728,21.0032,22.1529,24.1448,79.5639,82.9367,103.729,75.0846,62.5455,242.118,40.7222,54.1002,73.1345,40.2382,78.5337,84.3113,59.2338,61.2342,42.7041,73.2465,46.6151,50.8831,37.8283,26.301,25.5306,72.8875,37.0157,11.7872,7.8414,15.51,11.4608,11.1966,13.2184,28.1028,65.7466,13.28,19.3809,16.7937,22.0619,22.2744,24.3713,17.9425,12.7314,18.8886,18.1134,16.8342,21.1353,16.3952
"Solyc00g500325.1.1",145.314,199.985,252.024,279.608,217.465,2878.86,1676.78,2949.22,150.349,191.982,12064.1,144.114,152.054,215.638,846.013,842.215,2094.93,161.807,216.489,161.512,2211.19,162.766,156.467,698.903,116.041,194.358,163.943,200.379,391.093,132.05,105.325,334.707,1222.06,250.407,336.556,244.234,415.74,271.66,625.639,579.841,184.171,203.741,152.428,233.821,648.495,356.672,184.147,124.192,155.076
"Solyc00g500329.1.1",7.87079,9.72814,11.0229,18.3338,11.9079,98.1871,78.1305,117.034,7.27351,9.55727,633.55,8.36595,6.50468,7.33241,53.7168,51.6349,85.098,7.55617,4.52482,7.14347,62.3872,6.9101,6.73708,26.4897,7.31783,11.5195,9.46297,12.1736,21.8611,9.43633,7.8251,18.1141,61.2315,16.2475,24.1398,10.7803,27.1872,14.5692,47.3116,20.8914,8.61817,11.6825,8.69346,14.8356,25.9979,15.6253,4.07111,5.00774,8.56035
"Solyc00g500334.1.1",28.0508,14.005,10.4479,8.84115,16.1518,70.0507,48.4916,56.0421,48.1971,40.6671,215.701,4.11006,36.2347,50.429,18.9668,48.8991,75.9287,37.8953,20.5491,18.799,41.2647,22.2309,23.3511,19.4871,16.7834,16.9354,40.7683,14.5741,4.82196,4.56869,3.15568,6.75423,18.3626,13.4718,7.50463,44.2094,10.8078,1.54782,5.7983,32.8177,8.17439,24.0301,5.30369,11.8489,5.72772,0.560818,6.66872,10.624,6.03091
"Solyc00g500341.1.1",3.00481,2.86404,3.07775,0.626734,0.376732,0,0.899035,1.57585,0.605025,1.21353,2.65096,1.65101,0.903445,1.30226,5.75108,1.32081,2.03637,1.17097,1.59195,2.7541,1.47708,1.85894,2.03776,0.13814,2.98988,1.20052,0.272944,2.73207,0.516529,1.83525,1.68665,1.76357,1.16467,41.9608,3.61753,0.443973,43.6322,59.5024,56.2497,4.03901,3.09602,7.33621,9.47723,38.9431,2.761,27.9799,1.37768,2.43258,1.6772
"Solyc00g500342.1.1",1.41006,1.19467,1.40052,2.19599,3.98101,1.63789,1.40031,1.40856,0.807592,1.85237,2.45731,4.1321,2.51234,0.633742,6.76622,0.508565,1.69635,0.781507,1.25431,0.296467,0.410752,1.00347,1.76488,0.576221,1.24716,2.10324,2.16319,4.77555,4.0718,4.28697,2.44743,0.56587,3.01206,64.3678,7.76042,0.55558,86.6986,164.499,188.158,5.19474,2.23066,15.7592,11.7126,122.955,3.22472,92.4277,1.43667,3.09749,2.98498
"Solyc00g500343.1.1",0.462986,0.54718,0.229927,0.418933,0,4.80508,1.49562,4.0237,0.447472,0.690398,8.84736,3.66323,0.247474,0,3.99367,0.790935,1.90216,0.360849,0.327055,0,3.0945,0.404369,0,1.9211,0,0.739915,0,0,1.59175,0.61909,0,4.05615,3.64472,47.9623,3.94063,0.547265,62.0693,94.8438,123.206,0.24202,0,6.15347,3.18535,70.8197,0.425419,68.8583,0,0,0
"Solyc00g500344.1.1",8.76543,21.2185,1.45102,9.75076,0.651247,14.2544,12.5885,29.1871,6.27534,2.42053,63.3933,0,2.60293,0.562795,1.5295,7.90354,28.999,2.42906,10.0905,2.76441,25.5338,1.13417,4.02585,7.16399,1.36814,0.622594,10.6162,6.74693,0,3.80705,0,2.11059,3.02,13.6006,0.670021,5.75613,13.5091,13.5427,13.5891,7.85489,0,1.33494,1.80798,6.05878,0,0,11.3124,7.30364,6.37851
"Solyc00g500358.1.1",1.3711,0.71671,0.363293,1.24621,0.709957,5.20303,2.01227,4.61208,0.421852,0.285171,13.3542,3.22935,0.818266,1.33987,12.4846,1.62858,2.52146,0.789236,0.83455,0.6323,6.03201,0.435287,0.406598,1.85789,1.0835,1.11363,0.977044,5.90018,1.16706,1.22132,0.280794,3.76576,5.93602,58.4919,8.84849,1.25247,77.2403,54.135,49.3083,3.77294,1.52856,7.13746,4.34656,27.3826,1.67196,29.611,0.756511,0.673228,0.231183
"Solyc01g005000.3.1",26.5516,19.7248,24.421,31.7946,36.0523,27.6316,33.4842,34.3181,36.0169,29.7175,22.5573,85.8252,40.453,31.234,72.4387,35.3738,37.451,34.1807,25.7525,41.3771,31.8926,71.0162,51.8897,47.165,84.1117,88.4146,35.3736,53.429,67.7664,71.9519,73.6218,72.5426,77.4312,54.6504,98.4443,30.9579,45.9185,20.2722,20.7916,41.9219,26.5963,42.3041,18.0784,14.1704,37.705,12.2853,29.2059,18.4706,25.4332
"Solyc01g005250.5.1",39.1081,37.4473,38.219,20.3464,21.8656,42.2826,45.6146,39.8443,36.0419,38.2234,32.4538,22.7453,35.0534,40.8025,27.0402,31.785,44.8725,40.031,58.3547,33.1766,41.4517,28.1414,32.7398,33.6126,23.4443,23.0092,40.9534,21.1177,27.7145,31.4481,22.384,28.9422,29.0076,33.4136,31.4778,38.5816,40.6009,47.1114,54.4272,41.1638,38.7301,33.6975,37.0222,35.477,33.2824,23.1045,71.6499,65.0816,34.1954
